Year,Month,Day,Time,zones_ct5
2020,11,26,0,22
2020,11,26,3,18
2020,11,26,6,17
2020,11,26,9,12
2020,11,26,12,13
2020,11,26,15,12
2020,11,26,18,12
2020,11,26,21,9
2020,11,26,24,9
2020,11,26,27,9
2020,11,26,30,14
2020,11,26,33,11
2020,11,26,36,12
2020,11,26,39,11
2020,11,26,42,8
2020,11,26,45,8
2020,11,26,48,8
2020,11,26,51,9
2020,11,26,54,8
2020,11,26,57,8
2020,11,26,100,9
2020,11,26,103,8
2020,11,26,106,8
2020,11,26,109,8
2020,11,26,112,8
2020,11,26,115,8
2020,11,26,118,7
2020,11,26,121,6
2020,11,26,124,4
2020,11,26,127,3
2020,11,26,130,3
2020,11,26,133,3
2020,11,26,136,4
2020,11,26,139,5
2020,11,26,142,4
2020,11,26,145,4
2020,11,26,148,6
2020,11,26,151,6
2020,11,26,154,5
2020,11,26,157,5
2020,11,26,200,6
2020,11,26,203,6
2020,11,26,206,6
2020,11,26,209,4
2020,11,26,212,5
2020,11,26,215,3
2020,11,26,218,4
2020,11,26,221,4
2020,11,26,224,4
2020,11,26,227,3
2020,11,26,230,3
2020,11,26,233,3
2020,11,26,236,4
2020,11,26,239,4
2020,11,26,242,4
2020,11,26,245,4
2020,11,26,248,4
2020,11,26,251,3
2020,11,26,254,3
2020,11,26,257,3
2020,11,26,300,2
2020,11,26,303,3
2020,11,26,306,3
2020,11,26,309,3
2020,11,26,312,3
2020,11,26,315,3
2020,11,26,318,5
2020,11,26,321,3
2020,11,26,324,2
2020,11,26,327,1
2020,11,26,330,3
2020,11,26,333,2
2020,11,26,336,3
2020,11,26,339,1
2020,11,26,342,1
2020,11,26,345,1
2020,11,26,348,2
2020,11,26,351,2
2020,11,26,354,2
2020,11,26,357,2
2020,11,26,400,2
2020,11,26,403,2
2020,11,26,406,2
2020,11,26,409,2
2020,11,26,412,2
2020,11,26,415,2
2020,11,26,418,2
2020,11,26,421,2
2020,11,26,424,2
2020,11,26,427,2
2020,11,26,430,2
2020,11,26,433,2
2020,11,26,436,2
2020,11,26,439,2
2020,11,26,442,2
2020,11,26,445,2
2020,11,26,448,2
2020,11,26,451,2
2020,11,26,454,2
2020,11,26,457,2
2020,11,26,500,2
2020,11,26,503,2
2020,11,26,506,2
2020,11,26,509,2
2020,11,26,512,2
2020,11,26,515,2
2020,11,26,518,2
2020,11,26,521,2
2020,11,26,524,2
2020,11,26,527,2
2020,11,26,530,1
2020,11,26,533,1
2020,11,26,536,1
2020,11,26,539,1
2020,11,26,542,1
2020,11,26,545,1
2020,11,26,548,1
2020,11,26,551,1
2020,11,26,554,1
2020,11,26,557,1
2020,11,26,600,1
2020,11,26,603,1
2020,11,26,606,1
2020,11,26,609,1
2020,11,26,612,2
2020,11,26,615,1
2020,11,26,618,1
2020,11,26,621,1
2020,11,26,624,2
2020,11,26,627,3
2020,11,26,630,4
2020,11,26,633,6
2020,11,26,636,6
2020,11,26,639,7
2020,11,26,642,10
2020,11,26,645,9
2020,11,26,648,8
2020,11,26,651,6
2020,11,26,654,7
2020,11,26,657,7
2020,11,26,700,6
2020,11,26,703,5
2020,11,26,706,7
2020,11,26,709,6
2020,11,26,712,8
2020,11,26,715,9
2020,11,26,718,13
2020,11,26,721,9
2020,11,26,724,11
2020,11,26,727,12
2020,11,26,730,12
2020,11,26,733,20
2020,11,26,736,22
2020,11,26,739,20
2020,11,26,742,16
2020,11,26,745,17
2020,11,26,748,13
2020,11,26,751,14
2020,11,26,754,17
2020,11,26,757,16
